,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
75,1990,AZ,Total Electric Power Industry,Total,62774297.0,62.774297
76,1990,AZ,Total Electric Power Industry,Coal,31915610.0,31.91561
77,1990,AZ,Total Electric Power Industry,Hydroelectric Conventional,7417576.0,7.417576
78,1990,AZ,Total Electric Power Industry,Natural Gas,2333900.0,2.3339
79,1990,AZ,Total Electric Power Industry,Nuclear,20597689.0,20.597689
80,1990,AZ,Total Electric Power Industry,Petroleum,151867.0,0.151867
81,1990,AZ,Total Electric Power Industry,Pumped Storage,249767.0,0.249767
82,1990,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,107888.0,0.107888
1521,1991,AZ,Total Electric Power Industry,Total,67202551.0,67.202551
1522,1991,AZ,Total Electric Power Industry,Coal,32557748.0,32.557748
1523,1991,AZ,Total Electric Power Industry,Hydroelectric Conventional,6735540.0,6.73554
1524,1991,AZ,Total Electric Power Industry,Natural Gas,2226388.0,2.226388
1525,1991,AZ,Total Electric Power Industry,Nuclear,25095776.0,25.095776
1526,1991,AZ,Total Electric Power Industry,Petroleum,117399.0,0.117399
1527,1991,AZ,Total Electric Power Industry,Pumped Storage,362912.0,0.362912
1528,1991,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,106788.0,0.106788
2998,1992,AZ,Total Electric Power Industry,Total,70552727.0,70.552727
2999,1992,AZ,Total Electric Power Industry,Coal,34817088.0,34.817088
3000,1992,AZ,Total Electric Power Industry,Hydroelectric Conventional,6620757.0,6.620757
3001,1992,AZ,Total Electric Power Industry,Natural Gas,2975365.0,2.975365
3002,1992,AZ,Total Electric Power Industry,Nuclear,25608706.0,25.608706
3003,1992,AZ,Total Electric Power Industry,Petroleum,101915.0,0.101915
3004,1992,AZ,Total Electric Power Industry,Pumped Storage,290465.0,0.290465
3005,1992,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,138431.0,0.138431
4501,1993,AZ,Total Electric Power Industry,Total,68468986.0,68.468986
4502,1993,AZ,Total Electric Power Industry,Coal,37272195.0,37.272195
4503,1993,AZ,Total Electric Power Industry,Hydroelectric Conventional,6697088.0,6.697088
4504,1993,AZ,Total Electric Power Industry,Natural Gas,1936549.0,1.936549
4505,1993,AZ,Total Electric Power Industry,Nuclear,22048880.0,22.04888
4506,1993,AZ,Total Electric Power Industry,Petroleum,85442.0,0.085442
4507,1993,AZ,Total Electric Power Industry,Pumped Storage,325983.0,0.325983
4508,1993,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,102849.0,0.102849
6025,1994,AZ,Total Electric Power Industry,Total,71934496.0,71.934496
6026,1994,AZ,Total Electric Power Industry,Coal,38343130.0,38.34313
6027,1994,AZ,Total Electric Power Industry,Hydroelectric Conventional,7365425.0,7.365425
6028,1994,AZ,Total Electric Power Industry,Natural Gas,2483535.0,2.483535
6029,1994,AZ,Total Electric Power Industry,Nuclear,23170894.0,23.170894
6030,1994,AZ,Total Electric Power Industry,Petroleum,152170.0,0.15217
6031,1994,AZ,Total Electric Power Industry,Pumped Storage,304437.0,0.304437
6032,1994,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,114905.0,0.114905
7569,1995,AZ,Total Electric Power Industry,Total,69780939.0,69.780939
7570,1995,AZ,Total Electric Power Industry,Coal,31951659.0,31.951659
7571,1995,AZ,Total Electric Power Industry,Hydroelectric Conventional,8288419.0,8.288419
7572,1995,AZ,Total Electric Power Industry,Natural Gas,2192947.0,2.192947
7573,1995,AZ,Total Electric Power Industry,Nuclear,26984507.0,26.984507
7574,1995,AZ,Total Electric Power Industry,Petroleum,82557.0,0.082557
7575,1995,AZ,Total Electric Power Industry,Pumped Storage,190029.0,0.190029
7576,1995,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,90821.0,0.090821
9130,1996,AZ,Total Electric Power Industry,Total,71654818.0,71.654818
9131,1996,AZ,Total Electric Power Industry,Coal,31032541.0,31.032541
9132,1996,AZ,Total Electric Power Industry,Hydroelectric Conventional,9214356.0,9.214356
9133,1996,AZ,Total Electric Power Industry,Natural Gas,2156382.0,2.156382
9134,1996,AZ,Total Electric Power Industry,Nuclear,28839587.0,28.839587
9135,1996,AZ,Total Electric Power Industry,Petroleum,69810.0,0.06981
9136,1996,AZ,Total Electric Power Industry,Pumped Storage,265397.0,0.265397
