Year,Wind,Solar,Hydroelectric,Nuclear
1997,0,0,12049393,29314200
1998,0,0,10970189,30301045
1999,0,0,9758817,30415572
2000,0,0,8354216,30380571
2001,0,489,7623565,28724076
2002,0,459,7427180,30861911
2003,0,395,7074984,28581053
2004,0,4265,6973147,28112609
2005,0,13581,6410064,25807446
2006,0,13134,6792904,24012231
2007,0,8649,6597671,26782391
2008,0,14724,7285902,29250496
2009,29545,14145,6427345,30661851
2010,134916,15754,6622160,31199935
2011,255579,83348.78,9174092,31277863
2012,531640,955443,6716934,31933916
2013,449764,2111438.64,5914658,31431080
2014,468115,3141508,6118261,32320917
2015,452035,3456608,6535722,32525595
2016,541582,3765825,7167763,32377477
2017,569934,4942001,6831891,32340138
2018,530190,5140377,6982242,31097259
2019,554374,5278019,6204439,31920368
2020,644160,5837443,6423600,31552433
2021,1600319,6710877,5972854,31629862
2022,1564348,7069079,5297590,31942793
2023,2024442,7684897,5297590,32137973
2024,2484536,8300715,5297590,32333153
2025,2944630,8916533,5297590,32528333
2026,3404724,9532351,5297590,32723513
2028,3864818,10148169,5297590,32918693
2029,4324912,10763987,5297590,33113873
2030,4785006,11379805,5297590,33309053
