YEAR,STATE,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
1990,AZ,Total,62774297,62.774297
1990,AZ,Coal,31915610,31.91561
1990,AZ,Hydroelectric Conventional,7417576,7.417576
1990,AZ,Natural Gas,2333900,2.3339
1990,AZ,Nuclear,20597689,20.597689
1990,AZ,Petroleum,151867,0.151867
1990,AZ,Pumped Storage,249767,0.249767
1990,AZ,Wood and Wood Derived Fuels,107888,0.107888
1991,AZ,Total,67202551,67.202551
1991,AZ,Coal,32557748,32.557748
1991,AZ,Hydroelectric Conventional,6735540,6.73554
1991,AZ,Natural Gas,2226388,2.226388
1991,AZ,Nuclear,25095776,25.095776
1991,AZ,Petroleum,117399,0.117399
1991,AZ,Pumped Storage,362912,0.362912
1991,AZ,Wood and Wood Derived Fuels,106788,0.106788
1992,AZ,Total,70552727,70.552727
1992,AZ,Coal,34817088,34.817088
1992,AZ,Hydroelectric Conventional,6620757,6.620757
1992,AZ,Natural Gas,2975365,2.975365
1992,AZ,Nuclear,25608706,25.608706
1992,AZ,Petroleum,101915,0.101915
1992,AZ,Pumped Storage,290465,0.290465
1992,AZ,Wood and Wood Derived Fuels,138431,0.138431
1993,AZ,Total,68468986,68.468986
1993,AZ,Coal,37272195,37.272195
1993,AZ,Hydroelectric Conventional,6697088,6.697088
1993,AZ,Natural Gas,1936549,1.936549
1993,AZ,Nuclear,22048880,22.04888
1993,AZ,Petroleum,85442,0.085442
1993,AZ,Pumped Storage,325983,0.325983
1993,AZ,Wood and Wood Derived Fuels,102849,0.102849
1994,AZ,Total,71934496,71.934496
1994,AZ,Coal,38343130,38.34313
1994,AZ,Hydroelectric Conventional,7365425,7.365425
1994,AZ,Natural Gas,2483535,2.483535
1994,AZ,Nuclear,23170894,23.170894
1994,AZ,Petroleum,152170,0.15217
1994,AZ,Pumped Storage,304437,0.304437
1994,AZ,Wood and Wood Derived Fuels,114905,0.114905
1995,AZ,Total,69780939,69.780939
1995,AZ,Coal,31951659,31.951659
1995,AZ,Hydroelectric Conventional,8288419,8.288419
1995,AZ,Natural Gas,2192947,2.192947
1995,AZ,Nuclear,26984507,26.984507
1995,AZ,Petroleum,82557,0.082557
1995,AZ,Pumped Storage,190029,0.190029
1995,AZ,Wood and Wood Derived Fuels,90821,0.090821
1996,AZ,Total,71654818,71.654818
1996,AZ,Coal,31032541,31.032541
1996,AZ,Hydroelectric Conventional,9214356,9.214356
1996,AZ,Natural Gas,2156382,2.156382
1996,AZ,Nuclear,28839587,28.839587
1996,AZ,Petroleum,69810,0.06981
1996,AZ,Pumped Storage,265397,0.265397
1996,AZ,Wood and Wood Derived Fuels,76745,0.076745
1997,AZ,Total,78825200,78.8252
1997,AZ,Coal,34478848,34.478848
1997,AZ,Hydroelectric Conventional,12049393,12.049393
1997,AZ,Natural Gas,2483810,2.48381
1997,AZ,Nuclear,29314200,29.3142
1997,AZ,Petroleum,65681,0.065681
1997,AZ,Pumped Storage,352098,0.352098
1997,AZ,Solar Thermal and Photovoltaic,0,0
1997,AZ,Wood and Wood Derived Fuels,81170,0.08117
1998,AZ,Total,82095072,82.095072
1998,AZ,Coal,36563427,36.563427
1998,AZ,Hydroelectric Conventional,10970189,10.970189
1998,AZ,Natural Gas,3928204,3.928204
1998,AZ,Nuclear,30301045,30.301045
1998,AZ,Petroleum,63216,0.063216
1998,AZ,Pumped Storage,268991,0.268991
1998,AZ,Solar Thermal and Photovoltaic,0,0
1999,AZ,Total,83893173,83.893173
1999,AZ,Coal,38305165,38.305165
1999,AZ,Hydroelectric Conventional,9758817,9.758817
1999,AZ,Natural Gas,5034445,5.034445
1999,AZ,Nuclear,30415572,30.415572
1999,AZ,Other Biomass,4784,0.004784
1999,AZ,Petroleum,50355,0.050355
1999,AZ,Pumped Storage,324035,0.324035
1999,AZ,Solar Thermal and Photovoltaic,0,0
2000,AZ,Total,88946577,88.946577
2000,AZ,Coal,40993129,40.993129
2000,AZ,Hydroelectric Conventional,8354216,8.354216
2000,AZ,Natural Gas,8734799,8.734799
2000,AZ,Nuclear,30380571,30.380571
2000,AZ,Other Biomass,4583,0.004583
2000,AZ,Petroleum,190323,0.190323
2000,AZ,Pumped Storage,288956,0.288956
2000,AZ,Solar Thermal and Photovoltaic,0,0
2001,AZ,Total,89911272,89.911272
2001,AZ,Coal,40061494,40.061494
2001,AZ,Hydroelectric Conventional,7623565,7.623565
2001,AZ,Natural Gas,12872200,12.8722
2001,AZ,Nuclear,28724076,28.724076
2001,AZ,Other Biomass,38948,0.038948
2001,AZ,Petroleum,314206,0.314206
2001,AZ,Pumped Storage,276294,0.276294
2001,AZ,Solar Thermal and Photovoltaic,489,0.000489
2002,AZ,Total,94131666,94.131666
2002,AZ,Coal,38226631,38.226631
2002,AZ,Hydroelectric Conventional,7427180,7.42718
2002,AZ,Natural Gas,17293015,17.293015
2002,AZ,Nuclear,30861911,30.861911
2002,AZ,Other,87714,0.087714
2002,AZ,Other Biomass,53346,0.053346
2002,AZ,Petroleum,57446,0.057446
2002,AZ,Pumped Storage,123964,0.123964
2002,AZ,Solar Thermal and Photovoltaic,459,0.000459
2003,AZ,Total,94396218,94.396218
2003,AZ,Coal,38091409,38.091409
2003,AZ,Hydroelectric Conventional,7074984,7.074984
2003,AZ,Natural Gas,18932641,18.932641
2003,AZ,Nuclear,28581053,28.581053
2003,AZ,Other,1338595,1.338595
2003,AZ,Other Biomass,44874,0.044874
2003,AZ,Petroleum,48677,0.048677
2003,AZ,Pumped Storage,283590,0.28359
