,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
58012,2022,AK,Total Electric Power Industry,Total,6694128.0,6.694128
58013,2022,AK,Total Electric Power Industry,Coal,726934.0,0.726934
58014,2022,AK,Total Electric Power Industry,Hydroelectric Conventional,1713426.0,1.713426
58015,2022,AK,Total Electric Power Industry,Natural Gas,3229376.0,3.229376
58016,2022,AK,Total Electric Power Industry,Other,-3245.0,-0.003245
58017,2022,AK,Total Electric Power Industry,Petroleum,847526.0,0.847526
58018,2022,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,0.0,0.0
58019,2022,AK,Total Electric Power Industry,Other Biomass,40836.0,0.040836
58020,2022,AK,Total Electric Power Industry,Wind,139276.0,0.139276
58021,2022,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0.0,0.0
58048,2022,AL,Total Electric Power Industry,Total,144788893.0,144.788893
58049,2022,AL,Total Electric Power Industry,Coal,25943990.0,25.94399
58050,2022,AL,Total Electric Power Industry,Hydroelectric Conventional,10188211.0,10.188211
58051,2022,AL,Total Electric Power Industry,Natural Gas,62217445.0,62.217445
58052,2022,AL,Total Electric Power Industry,Nuclear,42313657.0,42.313657
58053,2022,AL,Total Electric Power Industry,Other Gases,4.0,4e-06
58054,2022,AL,Total Electric Power Industry,Other,-50.0,-5e-05
58055,2022,AL,Total Electric Power Industry,Petroleum,40917.0,0.040917
58056,2022,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,894571.0,0.894571
58057,2022,AL,Total Electric Power Industry,Other Biomass,42878.0,0.042878
58058,2022,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,3147269.0,3.147269
58082,2022,AR,Total Electric Power Industry,Total,65905030.0,65.90503
58083,2022,AR,Total Electric Power Industry,Coal,20360869.0,20.360869
58084,2022,AR,Total Electric Power Industry,Pumped Storage,67436.0,0.067436
58085,2022,AR,Total Electric Power Industry,Hydroelectric Conventional,3468585.0,3.468585
58086,2022,AR,Total Electric Power Industry,Natural Gas,26037433.0,26.037433
58087,2022,AR,Total Electric Power Industry,Nuclear,14323697.0,14.323697
58088,2022,AR,Total Electric Power Industry,Other,4898.0,0.004898
58089,2022,AR,Total Electric Power Industry,Petroleum,64319.0,0.064319
58090,2022,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,736481.0,0.736481
58091,2022,AR,Total Electric Power Industry,Other Biomass,46357.0,0.046357
58092,2022,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,794955.0,0.794955
58123,2022,AZ,Total Electric Power Industry,Total,104698773.0,104.698773
58124,2022,AZ,Total Electric Power Industry,Coal,13449468.0,13.449468
58125,2022,AZ,Total Electric Power Industry,Pumped Storage,96987.0,0.096987
58126,2022,AZ,Total Electric Power Industry,Hydroelectric Conventional,5297590.0,5.29759
58127,2022,AZ,Total Electric Power Industry,Natural Gas,45053245.0,45.053245
58128,2022,AZ,Total Electric Power Industry,Nuclear,31942793.0,31.942793
58129,2022,AZ,Total Electric Power Industry,Other,-11206.0,-0.011206
58130,2022,AZ,Total Electric Power Industry,Petroleum,32204.0,0.032204
58131,2022,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,7069079.0,7.069079
58132,2022,AZ,Total Electric Power Industry,Other Biomass,18605.0,0.018605
58133,2022,AZ,Total Electric Power Industry,Wind,1564348.0,1.564348
58134,2022,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,185661.0,0.185661
58161,2022,CA,Total Electric Power Industry,Total,203383857.0,203.383857
58162,2022,CA,Total Electric Power Industry,Coal,251565.0,0.251565
58163,2022,CA,Total Electric Power Industry,Geothermal,11180964.0,11.180964
58164,2022,CA,Total Electric Power Industry,Pumped Storage,-155048.0,-0.155048
58165,2022,CA,Total Electric Power Industry,Hydroelectric Conventional,17644149.0,17.644149
58166,2022,CA,Total Electric Power Industry,Natural Gas,96371557.0,96.371557
58167,2022,CA,Total Electric Power Industry,Nuclear,17593254.0,17.593254
58168,2022,CA,Total Electric Power Industry,Other Gases,1411516.0,1.411516
58169,2022,CA,Total Electric Power Industry,Other,196215.0,0.196215
58170,2022,CA,Total Electric Power Industry,Petroleum,154953.0,0.154953
58171,2022,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,38789352.0,38.789352
58172,2022,CA,Total Electric Power Industry,Other Biomass,2416598.0,2.416598
58173,2022,CA,Total Electric Power Industry,Wind,14638061.0,14.638061
58174,2022,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,2890722.0,2.890722
58224,2022,CO,Total Electric Power Industry,Total,58044009.0,58.044009
58225,2022,CO,Total Electric Power Industry,Coal,21723004.0,21.723004
58226,2022,CO,Total Electric Power Industry,Pumped Storage,-21220.0,-0.02122
58227,2022,CO,Total Electric Power Industry,Hydroelectric Conventional,1344617.0,1.344617
58228,2022,CO,Total Electric Power Industry,Natural Gas,15445527.0,15.445527
58229,2022,CO,Total Electric Power Industry,Other Gases,2609.0,0.002609
58230,2022,CO,Total Electric Power Industry,Other,48090.0,0.04809
58231,2022,CO,Total Electric Power Industry,Petroleum,27206.0,0.027206
58232,2022,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,2400122.0,2.400122
58233,2022,CO,Total Electric Power Industry,Other Biomass,72523.0,0.072523
58234,2022,CO,Total Electric Power Industry,Wind,16911126.0,16.911126
58235,2022,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,90406.0,0.090406
58271,2022,CT,Total Electric Power Industry,Total,43054099.0,43.054099
58272,2022,CT,Total Electric Power Industry,Coal,0.0,0.0
58273,2022,CT,Total Electric Power Industry,Pumped Storage,1309.0,0.001309
58274,2022,CT,Total Electric Power Industry,Hydroelectric Conventional,312235.0,0.312235
58275,2022,CT,Total Electric Power Industry,Natural Gas,24530687.0,24.530687
58276,2022,CT,Total Electric Power Industry,Nuclear,16464167.0,16.464167
58277,2022,CT,Total Electric Power Industry,Other,491694.0,0.491694
58278,2022,CT,Total Electric Power Industry,Petroleum,314369.0,0.314369
58279,2022,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,412820.0,0.41282
58280,2022,CT,Total Electric Power Industry,Other Biomass,408715.0,0.408715
58281,2022,CT,Total Electric Power Industry,Wind,12833.0,0.012833
58282,2022,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,105270.0,0.10527
58312,2022,DC,Total Electric Power Industry,Total,160237.0,0.160237
58313,2022,DC,Total Electric Power Industry,Natural Gas,80272.0,0.080272
58314,2022,DC,Total Electric Power Industry,Petroleum,18.0,1.8e-05
58315,2022,DC,Total Electric Power Industry,Solar Thermal and Photovoltaic,22248.0,0.022248
58316,2022,DC,Total Electric Power Industry,Other Biomass,57699.0,0.057699
58325,2022,DE,Total Electric Power Industry,Total,5308370.0,5.30837
58326,2022,DE,Total Electric Power Industry,Coal,104750.0,0.10475
58327,2022,DE,Total Electric Power Industry,Natural Gas,4749645.0,4.749645
58328,2022,DE,Total Electric Power Industry,Other Gases,198489.0,0.198489
58329,2022,DE,Total Electric Power Industry,Petroleum,108258.0,0.108258
58330,2022,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,63878.0,0.063878
58331,2022,DE,Total Electric Power Industry,Other Biomass,78973.0,0.078973
58332,2022,DE,Total Electric Power Industry,Wind,4377.0,0.004377
58355,2022,FL,Total Electric Power Industry,Total,258910413.0,258.910413
58356,2022,FL,Total Electric Power Industry,Coal,15531572.0,15.531572
58357,2022,FL,Total Electric Power Industry,Hydroelectric Conventional,230962.0,0.230962
58358,2022,FL,Total Electric Power Industry,Natural Gas,193310100.0,193.3101
58359,2022,FL,Total Electric Power Industry,Nuclear,30768329.0,30.768329
58360,2022,FL,Total Electric Power Industry,Other Gases,121.0,0.000121
58361,2022,FL,Total Electric Power Industry,Other,2402159.0,2.402159
58362,2022,FL,Total Electric Power Industry,Petroleum,1319165.0,1.319165
